id,x_1,x_2,class
1,16.5,1.15,R
2,32,1.85,R
3,36.5,2.925,R
4,48.5,1.05,R
5,51.5,0.275,R
6,59,0.975,R
7,83,2.025,R
8,90.5,3.7,R
9,-90.5,3,B
10,-79,1.725,B
11,-78,3.95,B
12,-61,3.025,B
13,-44.5,1.7,B
14,-32.5,3.75,B
15,-32,2.625,B
16,-29.5,1.675,B
17,-26.5,0.925,B
18,-15.5,1.825,B
19,-87,-1.55,R
20,-82,-3.225,R
21,-69.5,-0.625,R
22,-53.5,-1.5,R
23,-47,-2.575,R
24,-47.5,-4.4,R
25,-40,-3.3,R
26,-23.5,-1.125,R
27,-23.5,-1.975,R
28,-18.5,-2.725,R
29,10,-1.525,B
30,21,-2.025,B
31,37.5,-4.2,B
32,43,-0.85,B
33,48,-2.425,B
34,51,-0.225,B
35,59.5,-0.8,B
36,68,-3.55,B
37,70.5,-2.275,B
